country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points,ev_stock_lag1,ev_stock_share_lag1,charging_points_lag1
South Africa,2021,0.088,1741.0,0.023,300.0,1470.0,0.019,300.0
South Africa,2022,0.17,2223.0,0.028,330.0,1741.0,0.023,300.0
South Africa,2023,0.3,3503.0,0.044,350.0,2223.0,0.028,330.0
South Africa,2024,0.61,5103.0,0.066,380.0,3503.0,0.044,350.0
Spain,2011,0.049,468.0,0.0021,400.0,76.0,0.00034,400.0
Spain,2012,0.076,1010.0,0.0045,400.0,468.0,0.0021,400.0
Spain,2013,0.12,1890.0,0.0086,891.0,1010.0,0.0045,400.0
Spain,2014,0.19,3620.0,0.016,910.0,1890.0,0.0086,891.0
Spain,2015,0.2,5700.0,0.026,1640.0,3620.0,0.016,910.0
Spain,2016,0.29,9300.0,0.04,3660.0,5700.0,0.026,1640.0
Spain,2017,0.56,16300.0,0.071,4740.0,9300.0,0.04,3660.0
Spain,2018,0.81,28001.0,0.12,4840.0,16300.0,0.071,4740.0
Spain,2019,1.3,45002.0,0.19,4500.0,28001.0,0.12,4840.0
Spain,2020,4.5,88009.0,0.36,8700.0,45002.0,0.19,4500.0
Spain,2021,7.3,155019.0,0.62,8300.0,88009.0,0.36,8700.0
Spain,2022,8.9,226023.0,0.94,12200.0,155019.0,0.62,8300.0
Spain,2023,12.0,360027.0,1.4,25600.0,226023.0,0.94,12200.0
Spain,2024,11.0,450034.0,1.8,41000.0,360027.0,1.4,25600.0
Sweden,2011,0.054,180.0,0.0041,5.0,4.0,9.2e-05,5.0
Sweden,2012,0.31,1250.0,0.028,5.0,180.0,0.0041,5.0
Sweden,2013,0.53,2603.0,0.058,5.0,1250.0,0.028,5.0
Sweden,2014,1.4,7103.0,0.15,1000.0,2603.0,0.058,5.0
Sweden,2015,2.4,14604.0,0.31,1100.0,7103.0,0.15,1000.0
Sweden,2016,3.4,26507.0,0.55,2220.0,14604.0,0.31,1100.0
Sweden,2017,5.1,43021.0,0.92,3590.0,26507.0,0.55,2220.0
Sweden,2018,7.6,66021.0,1.3,6500.0,43021.0,0.92,3590.0
Sweden,2019,11.0,97042.0,2.0,9000.0,66021.0,1.3,6500.0
Sweden,2020,32.0,176047.0,3.6,11200.0,97042.0,2.0,9000.0
Sweden,2021,43.0,300063.0,6.0,13700.0,176047.0,3.6,11200.0
Sweden,2022,54.0,440065.0,8.7,17600.0,300063.0,6.0,13700.0
Sweden,2023,60.0,560048.0,11.0,37800.0,440065.0,8.7,17600.0
Sweden,2024,58.0,670050.0,13.0,44600.0,560048.0,11.0,37800.0
Switzerland,2012,0.23,1180.0,0.028,404.0,441.0,0.01,404.0
Switzerland,2013,0.42,2500.0,0.058,627.0,1180.0,0.028,404.0
Switzerland,2014,0.94,5410.0,0.12,1399.0,2500.0,0.058,627.0
Switzerland,2015,1.7,11010.0,0.25,3660.0,5410.0,0.12,1399.0
Switzerland,2016,1.9,16036.0,0.36,3850.0,11010.0,0.25,3660.0
Switzerland,2017,2.6,25037.0,0.54,4080.0,16036.0,0.36,3850.0
Switzerland,2018,3.1,35059.0,0.77,5140.0,25037.0,0.54,4080.0
Switzerland,2019,5.5,50084.0,1.1,6320.0,35059.0,0.77,5140.0
Switzerland,2020,14.0,84084.0,1.8,7700.0,50084.0,1.1,6320.0
Switzerland,2021,21.0,139140.0,2.9,10100.0,84084.0,1.8,7700.0
Switzerland,2022,25.0,201210.0,4.2,12200.0,139140.0,2.9,10100.0
Switzerland,2023,30.0,276240.0,5.8,15800.0,201210.0,4.2,12200.0
Switzerland,2024,28.0,340250.0,7.3,19200.0,276240.0,5.8,15800.0
Thailand,2011,0.001,13.0,0.00012,96.0,4.0,4.1e-05,96.0
Thailand,2012,0.00055,18.0,0.00016,96.0,13.0,0.00012,96.0
Thailand,2013,0.001,30.0,0.00024,96.0,18.0,0.00016,96.0
Thailand,2014,0.0076,99.0,0.00075,96.0,30.0,0.00024,96.0
Thailand,2015,0.0046,370.0,0.0027,96.0,99.0,0.00075,96.0
Thailand,2016,0.0048,375.0,0.0027,96.0,370.0,0.0027,96.0
Thailand,2017,0.018,402.0,0.0027,96.0,375.0,0.0027,96.0
Thailand,2018,0.87,8690.0,0.057,96.0,402.0,0.0027,96.0
Thailand,2019,1.0,18890.0,0.12,819.0,8690.0,0.057,96.0
Thailand,2020,1.1,26200.0,0.16,1910.0,18890.0,0.12,819.0
Thailand,2021,1.2,35100.0,0.21,2270.0,26200.0,0.16,1910.0
Thailand,2022,2.3,56000.0,0.32,3200.0,35100.0,0.21,2270.0
Thailand,2023,11.0,147000.0,0.82,10500.0,56000.0,0.32,3200.0
Thailand,2024,13.0,225000.0,1.2,13400.0,147000.0,0.82,10500.0
Turkiye,2013,0.00015,230.0,0.0026,11.0,230.0,0.0026,11.0
Turkiye,2014,0.012,260.0,0.0027,11.0,230.0,0.0026,11.0
Turkiye,2015,0.03,370.0,0.0038,11.0,260.0,0.0027,11.0
Turkiye,2016,0.017,630.0,0.0062,11.0,370.0,0.0038,11.0
Turkiye,2017,0.015,740.0,0.0069,69.0,630.0,0.0062,11.0
Turkiye,2018,0.045,930.0,0.0086,69.0,740.0,0.0069,69.0
Turkiye,2019,0.084,1840.0,0.017,150.0,930.0,0.0086,69.0
Turkiye,2020,0.21,3900.0,0.035,1261.0,1840.0,0.017,150.0
Turkiye,2021,0.63,8600.0,0.074,1970.0,3900.0,0.035,1261.0
Turkiye,2022,1.3,16300.0,0.14,2160.0,8600.0,0.074,1970.0
Turkiye,2023,7.2,81900.0,0.66,10100.0,16300.0,0.14,2160.0
Turkiye,2024,11.0,192000.0,1.4,11900.0,81900.0,0.66,10100.0
USA,2011,0.15,22000.0,0.0099,3900.0,3800.0,0.0017,480.0
USA,2012,0.42,75000.0,0.034,12000.0,22000.0,0.0099,3900.0
USA,2013,0.71,172000.0,0.078,15000.0,75000.0,0.034,12000.0
USA,2014,0.77,290055.0,0.14,20000.0,172000.0,0.078,15000.0
USA,2015,0.7,400160.0,0.19,31500.0,290055.0,0.14,20000.0
USA,2016,0.99,571200.0,0.26,38800.0,400160.0,0.19,31500.0
USA,2017,1.3,763500.0,0.33,45600.0,571200.0,0.26,38800.0
USA,2018,2.3,1126200.0,0.48,61000.0,763500.0,0.33,45600.0
USA,2019,2.1,1458200.0,0.62,77000.0,1126200.0,0.48,61000.0
USA,2020,2.3,1749200.0,0.78,98000.0,1458200.0,0.62,77000.0
USA,2021,4.7,2232000.0,0.97,113000.0,1749200.0,0.78,98000.0
USA,2022,7.4,3025000.0,1.4,129000.0,2232000.0,0.97,113000.0
USA,2023,9.5,4818000.0,2.1,160000.0,3025000.0,1.4,129000.0
USA,2024,10.0,6319000.0,2.7,193000.0,4818000.0,2.1,160000.0
United Kingdom,2011,0.062,2628.0,0.009,1500.0,1521.0,0.0053,1500.0
United Kingdom,2012,0.13,5090.0,0.017,2800.0,2628.0,0.009,1500.0
United Kingdom,2013,0.16,8200.0,0.027,5480.0,5090.0,0.017,2800.0
United Kingdom,2014,0.59,21700.0,0.072,7450.0,8200.0,0.027,5480.0
United Kingdom,2015,1.1,48000.0,0.16,8740.0,21700.0,0.072,7450.0
United Kingdom,2016,1.4,85000.0,0.27,11780.0,48000.0,0.16,8740.0
United Kingdom,2017,1.9,129034.0,0.4,13920.0,85000.0,0.27,11780.0
United Kingdom,2018,2.6,186070.0,0.56,16100.0,129034.0,0.4,13920.0
United Kingdom,2019,3.3,251170.0,0.76,15100.0,186070.0,0.56,16100.0
United Kingdom,2020,11.0,410230.0,1.3,22700.0,251170.0,0.76,15100.0
United Kingdom,2021,19.0,710240.0,2.1,34500.0,410230.0,1.3,22700.0
United Kingdom,2022,23.0,950190.0,2.8,51800.0,710240.0,2.1,34500.0
United Kingdom,2023,24.0,1580260.0,4.7,72000.0,950190.0,2.8,51800.0
United Kingdom,2024,28.0,2170260.0,6.4,88000.0,1580260.0,4.7,72000.0
Viet Nam,2021,0.041,88.0,0.0046,4900.0,3.0,0.0002,4900.0
Viet Nam,2022,2.5,7419.0,0.35,4900.0,88.0,0.0046,4900.0
Viet Nam,2023,9.8,39083.0,1.8,4900.0,7419.0,0.35,4900.0
Viet Nam,2024,17.0,110170.0,4.6,6100.0,39083.0,1.8,4900.0
