country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Austria,2018,2.6,26724.0,0.53,
Belgium,2017,2.6,30531.0,0.53,1800.0
Israel,2020,2.6,18800.0,0.58,
Switzerland,2017,2.6,25037.0,0.54,4080.0
United Kingdom,2018,2.6,186070.0,0.56,16100.0
Latvia,2020,2.6,,,
Seychelles,2019,2.6,,,
Costa Rica,2020,2.5,1420.0,0.14,
Finland,2017,2.5,7100.0,0.24,850.0
Korea,2020,2.5,154000.0,0.69,63100.0
Viet Nam,2022,2.5,7419.0,0.35,
Czech Republic,2020,2.5,,,
Belgium,2018,2.4,44044.0,0.75,3020.0
China,2017,2.4,1210000.0,0.65,130000.0
Iceland,2014,2.4,295.0,0.15,
Korea,2019,2.4,105100.0,0.49,46100.0
Sweden,2015,2.4,14604.0,0.31,1100.0
Denmark,2015,2.3,8507.0,0.35,2400.0
Thailand,2022,2.3,56000.0,0.32,3200.0
USA,2018,2.3,1126200.0,0.48,61000.0
USA,2020,2.3,1749200.0,0.78,98000.0
Slovakia,2020,2.3,,,
Seychelles,2018,2.3,,,
Indonesia,2023,2.2,29390.0,0.23,1080.0
Mexico,2024,2.2,68000.0,0.3,1850.0
Uzbekistan,2023,2.2,9960.0,0.34,
Bulgaria,2021,2.2,,,
Chile,2024,2.1,11302.0,0.26,1810.0
Denmark,2018,2.1,15288.0,0.59,4700.0
India,2023,2.1,150393.0,0.31,37000.0
India,2024,2.1,240483.0,0.48,75000.0
USA,2019,2.1,1458200.0,0.62,77000.0
Austria,2017,2.0,18919.0,0.38,
France,2018,2.0,188090.0,0.5,25300.0
Germany,2018,2.0,165470.0,0.35,19900.0
Seychelles,2017,2.0,,,
Poland,2020,1.9,17728.0,0.095,1520.0
Portugal,2017,1.9,8800.0,0.17,1650.0
Switzerland,2016,1.9,16036.0,0.36,3850.0
